ST_CASE,MONTH,DAY,HOUR
90222,12,9,16
90223,5,21,21
90224,11,30,10
90225,11,18,19
90226,12,12,23
90227,12,16,0
90228,12,17,17
90229,7,11,0
90230,10,23,1
90231,11,26,2
90232,11,27,8
90233,12,15,5
90234,12,21,17
90235,12,31,22
90237,12,27,19
90238,12,23,18
90239,9,1,15
90240,11,2,20
90241,12,4,1
90242,12,31,22
90244,10,6,9
90245,12,24,3
90246,10,31,20
90247,12,1,23
90248,6,10,22
90249,6,18,14
90250,10,18,5
90251,12,18,20
90252,6,23,15
90253,8,2,20
90254,7,10,13
90255,12,3,2
90256,12,20,13
90257,8,13,4
90258,5,15,2
90259,6,18,11
90260,7,10,23
90261,8,20,23
90262,9,27,18
90263,11,4,20
90264,11,1,19
90265,8,29,19
90266,11,3,16
90267,2,2,17
90268,6,15,17
90269,6,30,1
90270,6,26,20
90272,8,20,1
90273,12,24,3
90274,5,22,20
90275,9,16,14
90276,6,15,10
90277,10,2,17
90278,10,30,11
90279,11,27,21
90280,11,22,14
90281,12,29,16
90282,6,30,9
90283,9,17,12
90284,11,23,6
90285,10,4,19
90286,10,6,21
90287,5,24,12
90288,3,23,13
90289,11,5,20
90290,2,8,6
90291,10,11,16
90292,3,23,6
90293,9,20,16
90294,6,23,11
90295,12,22,16
90296,5,12,15
90297,10,28,99
90298,9,18,16
90299,6,14,17
90301,12,20,16
90302,6,27,2
90303,7,19,10
90304,7,31,13
90306,9,25,18
90307,11,9,19
90308,11,7,10
90309,10,29,19
90310,12,16,18
90311,12,21,17
90312,10,21,6
90313,10,27,6
90314,10,16,2
90315,6,25,17
90316,6,9,1
90317,7,26,11
90318,9,18,12
90321,2,4,1
90322,9,30,3
90323,10,1,8
90324,3,29,23
90325,9,18,15
90326,12,4,5
90327,11,8,17
90328,11,9,9
90329,11,16,9
90330,9,23,0
90331,11,5,22
90332,11,8,17
90333,12,5,4
90334,4,13,19
90335,5,23,16
90336,12,4,21
90337,8,6,99
90338,12,28,18
90339,5,30,18
90340,7,7,19
90341,9,30,14
90342,12,25,6
90343,2,20,21
90344,7,1,10
90345,11,4,99
90346,12,22,21
100001,1,1,7
100002,1,3,6
100003,1,2,15
100004,1,5,23
100005,1,6,12
100006,1,17,13
100007,1,14,16
100008,1,28,9
100009,1,30,4
100010,2,4,23
100011,2,6,18
100012,2,4,18
100013,2,9,17
100014,2,11,18
100015,2,13,7
100016,2,17,0
100017,2,17,20
100018,2,18,22
100019,2,19,20
100020,2,19,16
100021,2,23,23
100022,2,25,7
100023,2,25,12
100024,2,25,17
100025,2,26,18
100026,3,9,17
100028,3,15,23
100029,3,10,21
100030,3,17,18
100031,3,18,22
100032,3,24,17
100033,3,29,11
100034,3,26,20
100035,3,1,5
100036,4,11,4
100037,4,15,14
100038,4,27,1
100039,4,27,10
100040,4,27,13
100041,4,28,9
100042,4,1,6
100043,4,30,3
100044,5,7,21
100045,5,4,10
100046,5,5,13
100047,5,10,15
100048,5,14,2
100049,5,14,21
100050,5,15,13
100051,5,13,22
100052,5,19,17
100053,5,25,18
100054,5,27,20
100055,5,28,20
100056,5,29,13
100057,6,1,2
100058,6,3,19
100059,6,4,21
100060,6,5,2
100061,6,8,20
100062,6,14,7
100063,6,17,5
100064,6,19,0
100065,6,18,22
100066,6,24,0
100067,6,27,14
100068,6,5,16
100069,6,29,7
100070,6,21,23
100071,7,11,20
100072,7,12,21
100073,7,15,12
100074,7,23,22
100075,7,24,1
100076,7,27,15
100077,7,30,7
100078,8,10,8
100079,8,11,22
100080,8,18,8
100081,8,21,7
100082,8,24,17
100083,8,27,6
100084,8,26,18
100085,8,28,20
100086,8,29,23
100087,9,3,21
100088,9,4,5
100089,9,4,22
100090,9,5,14
100091,9,3,19
100092,9,9,12
100093,9,10,8
100094,9,11,1
100095,9,13,6
100096,9,14,16
100098,9,18,1
100099,9,21,3
100100,9,21,5
100101,9,24,18
100103,10,2,19
100104,10,1,12
100105,10,8,5
100106,10,11,21
100107,10,13,19
100108,10,15,4
100109,10,16,11
100110,10,18,9
100111,10,18,23
100112,10,20,15
100113,10,22,18
100114,10,30,22
100115,11,4,22
100116,11,5,1
100117,11,5,19
100118,11,2,18
100119,11,10,8
100120,11,11,0
100121,11,11,20
100122,10,21,22
100123,11,18,8
100124,11,22,7
100125,11,27,22
100126,11,28,21
100127,11,30,23
100128,12,3,22
100129,12,4,18
100130,12,5,13
100131,12,8,20
100132,12,10,15
100133,12,10,9
100134,12,12,17
100135,12,13,18
100136,12,14,10
100137,12,16,12
100138,12,18,15
100139,8,29,6
100140,12,21,7
100141,12,21,12
100142,12,24,19
100143,12,25,21
100144,12,27,20
100145,12,30,2
100146,12,30,21
110001,2,7,21
110002,2,23,19
110003,2,26,2
110004,3,8,18
110005,3,11,12
110006,3,16,17
110007,3,17,20
110008,3,25,23
110009,4,3,1
110010,5,2,2
110011,5,8,23
110012,6,27,2
110013,7,2,17
110014,7,15,2
110015,7,20,8
110016,8,3,16
110017,9,2,18
110018,9,4,20
110019,9,24,0
110020,10,5,5
110021,11,24,4
110022,11,25,13
110023,11,26,18
110024,12,5,9
110025,12,9,22
110026,12,17,20
110027,11,29,23
110028,12,30,16
120001,1,1,12
120002,1,1,16
120003,1,1,0
120004,1,2,19
120005,1,3,9
120006,1,1,0
120007,1,1,20
120008,1,2,8
120009,1,2,18
120010,1,4,9
120011,1,1,2
120012,1,4,12
120013,1,1,2
120014,1,1,7
120015,1,5,12
120016,1,5,2
120018,1,7,6
120019,1,5,15
120020,1,2,17
120021,1,1,14
120022,1,1,16
120023,1,3,16
120024,1,2,7
120025,1,7,19
120026,1,4,12
120027,1,4,12
120028,1,6,14
120029,1,10,21
120030,1,3,16
120031,1,10,14
120032,1,11,17
120033,1,6,1
120034,1,3,17
120035,1,11,23
120036,1,4,23
120037,1,5,20
120038,1,3,6
120039,1,4,8
120040,1,5,11
120041,1,7,22
120042,1,3,21
120043,1,3,13
120044,1,7,22
120045,1,7,2
120046,1,8,18
120047,1,8,10
120048,1,2,12
120049,1,11,8
120050,1,4,23
120051,1,1,16
120052,1,13,9
120053,1,10,12
120054,1,4,15
120055,1,13,19
120056,1,15,5
120058,1,5,0
120059,1,2,16
120060,1,8,21
120061,1,13,6
120062,1,16,17
120063,1,14,19
120064,1,15,5
120065,1,5,18
120066,1,14,8
120067,1,17,19
120068,1,18,22
120069,1,13,6
120070,1,4,1
120071,1,8,21
120072,1,15,13
120073,1,16,17
120074,1,14,5
120075,1,8,18
120076,1,5,6
120077,1,18,20
120078,1,7,15
120079,1,17,3
120080,1,5,20
120081,1,6,15
120082,1,18,11
120083,1,10,16
120084,1,8,20
120085,1,9,2
120086,1,8,2
120087,1,16,15
120088,1,16,1
120089,1,1,17
120090,1,10,2
120091,1,5,12
120093,1,8,11
120094,1,10,22
120095,1,2,0
120096,1,18,19
120097,1,21,6
120098,1,21,18
120099,1,17,7
120100,1,19,16
120101,1,4,12
120102,1,18,5
120103,1,20,8
120104,1,12,6
120105,1,7,21
120106,1,15,4
120107,1,19,9
120108,1,24,6
120110,1,23,17
120111,1,22,21
120112,1,22,3
120113,1,20,20
120114,1,24,11
120115,1,24,19
120116,1,18,18
120117,1,24,19
120118,1,16,22
120119,1,25,6
120120,1,24,6
120121,1,25,13
120122,1,2,18
120123,1,3,7
120124,1,22,15
120125,1,12,19
120126,1,9,3
120127,1,26,17
120128,1,13,2
120129,1,9,0
120130,1,16,1
120131,1,1,6
120132,1,25,21
120133,1,19,15
120134,1,23,22
120135,1,21,20
120136,1,28,0
120137,1,17,21
120138,1,20,20
120139,1,21,12
120140,1,27,16
120141,1,17,19
120142,1,27,18
120143,1,26,18
120144,1,28,19
120145,1,1,4
120147,1,29,13
120148,1,25,18
120149,1,26,6
120150,1,26,14
120151,1,18,2
120152,1,22,19
120153,1,28,18
120154,1,18,5
120155,1,14,17
120156,1,16,2
120157,1,27,19
120158,1,16,4
120159,1,25,22
120160,1,20,19
120161,1,30,3
120162,1,22,4
120163,1,24,3
120164,1,27,17
120165,1,25,10
120166,1,29,22
120167,1,27,22
120168,1,25,13
120169,1,20,15
120170,1,26,6
120171,1,27,7
120172,1,23,19
120173,1,29,1
120174,1,20,16
120175,1,27,11
120176,1,22,18
120177,2,1,19
120178,2,2,1
120179,1,21,10
120180,1,27,14
120181,1,21,19
120182,1,1,20
120183,1,27,21
120184,1,12,11
120185,1,25,10
120186,1,3,17
120187,1,26,15
120188,1,9,3
120189,1,18,14
120190,1,23,20
120191,1,18,0
120192,2,4,19
120193,1,30,3
120194,2,3,7
120195,2,2,6
120196,1,22,20
120197,1,27,18
120198,1,26,23
120199,2,3,19
120200,1,3,2
120201,2,4,14
120202,1,28,2
120203,1,26,18
120204,1,11,11
120205,1,5,13
120207,1,25,18
120208,1,30,5
120209,1,10,10
120210,1,16,22
120211,1,27,4
120212,1,30,21
120213,1,19,14
120214,2,1,0
120215,1,28,21
120216,1,27,16
120217,2,1,9
120218,2,4,8
120219,1,22,17
120220,1,17,4
120221,1,31,11
120222,1,31,2
120223,1,31,1
120224,1,29,1
120225,2,2,1
120226,1,13,17
120227,2,4,11
120228,1,11,17
120230,1,26,20
120231,1,26,7
120232,2,7,18
120233,1,21,21
120235,1,24,4
120236,2,10,19
120237,2,1,10
120238,2,3,4
120239,1,15,20
120240,2,1,18
120241,1,22,19
120242,1,29,19
120244,2,3,17
120246,2,1,11
120247,1,23,3
120248,1,31,17
120249,1,27,15
120250,2,7,7
120251,2,6,11
120252,2,5,12
120254,1,31,1
120255,2,7,19
120256,1,31,19
120259,1,17,21
120260,1,29,17
120261,2,2,6
120262,1,29,14
120263,1,29,15
120264,2,5,2
120265,2,4,22
120266,1,30,8
120267,1,26,20
120268,2,3,18
120269,1,31,15
120271,2,6,21
120272,1,31,18
120273,2,10,18
120274,2,4,6
120275,2,12,3
120276,2,2,2
120277,2,5,10
120278,2,7,0
120279,2,7,20
120280,2,3,10
120281,2,4,18
120282,2,1,16
120284,1,23,1
120285,2,8,2
120286,1,15,17
120287,1,24,18
120288,1,10,18
120289,2,2,18
120290,2,5,7
120291,2,3,13
120292,2,4,6
120293,2,7,12
120294,2,8,0
120295,2,1,5
120296,2,7,22
120297,2,5,2
120298,2,15,22
120299,2,3,18
120301,2,8,21
120302,1,30,23
120303,1,25,16
120304,1,25,18
120305,1,9,15
120306,2,11,2
120307,2,3,17
120308,2,13,5
120309,2,12,18
120310,2,13,16
120311,1,26,4
120312,2,10,9
120313,2,13,19
120314,2,8,17
120315,2,9,9
120316,2,13,2
120317,2,3,21
120318,2,13,19
120319,2,11,13
120320,1,27,11
120321,2,13,3
120322,2,5,3
120323,1,29,2
120324,2,16,2
120325,1,28,3
120326,2,18,19
120327,2,9,17
120328,2,6,0
120329,1,30,3
120330,1,17,13
120331,2,3,19
120332,2,4,14
120333,2,9,19
120334,2,7,18
120335,2,8,19
120336,2,7,17
120337,2,19,7
120338,2,15,14
120339,1,12,18
120340,2,5,18
120341,2,20,1
120343,2,5,1
120344,2,6,0
120345,1,25,18
120346,2,8,20
120347,2,9,13
120348,2,12,23
120349,2,17,12
120350,2,7,2
120351,1,15,12
120352,2,3,20
120353,2,17,20
120354,2,16,21
120356,2,5,21
120357,2,2,21
120358,2,19,20
120359,2,18,23
120360,2,11,12
120361,2,17,0
120362,2,10,8
120364,2,19,23
120365,2,19,8
120366,2,18,15
120367,2,23,6
120368,2,5,13
120369,2,19,19
120370,2,7,17
120371,2,19,19
120372,2,22,5
120373,2,19,17
120374,2,7,0
120376,2,8,19
120377,2,16,19
120378,2,13,18
120379,2,23,2
120380,2,23,23
120381,2,22,11
120382,2,23,19
120383,2,22,22
120384,2,21,20
120385,2,26,17
120386,2,18,3
120387,2,12,19
120388,2,27,2
120389,2,13,19
120390,2,12,2
120391,2,18,23
120392,2,25,1
120393,2,15,11
120394,2,27,14
120395,1,18,5
120396,2,18,20
120397,2,20,2
120398,2,20,19
120399,2,19,19
120400,2,16,6
120401,2,25,12
120402,2,12,19
120404,2,18,5
120406,2,11,22
120407,2,20,22
120408,2,12,14
120409,2,28,3
120410,2,15,18
120411,2,12,15
120412,2,24,18
120413,2,20,23
120414,2,15,6
120415,2,12,20
120416,2,25,3
120417,2,21,1
120418,2,22,1
120419,1,29,2
120420,3,1,9
120421,1,24,13
120422,2,27,13
120423,2,23,19
120424,2,22,16
120425,2,23,22
120426,2,16,18
120427,2,13,18
120428,2,28,13
120429,2,24,3
120430,2,27,6
120431,3,1,18
120432,2,21,11
120433,2,10,21
120434,2,11,21
120435,2,22,4
120436,2,22,21
120437,2,26,18
120438,2,26,7
120439,2,12,2
120440,2,21,19
120441,2,27,4
120442,3,3,21
120443,2,26,3
120444,2,26,2
120445,2,26,22
120446,2,24,8
120447,2,21,23
120448,2,18,23
120449,2,25,19
120450,2,20,9
120451,3,2,18
120452,2,22,22
120453,2,22,7
120454,2,22,0
120455,3,2,1
120456,3,3,20
120457,2,25,5
120458,3,6,2
120459,2,24,18
120460,2,17,19
120461,2,26,10
120462,2,22,1
120463,2,28,20
120464,1,24,21
120465,2,21,18
120466,1,16,2
120467,2,19,0
120468,2,23,15
120470,3,7,19
120471,2,18,19
120473,2,14,17
120474,2,21,18
120475,3,3,21
120476,2,10,6
120477,3,4,19
120478,2,23,14
120479,3,1,16
120480,3,6,1
120483,3,4,0
120484,2,26,17
120485,2,19,3
120486,2,28,16
120487,2,17,17
120488,2,25,17
120489,2,23,15
120490,2,15,19
120491,3,6,9
120492,3,5,18
120493,2,6,4
120494,3,3,19
120495,3,3,11
120497,2,17,19
120498,3,3,3
120499,3,4,22
120500,3,1,22
120501,3,7,20
120502,2,23,10
120503,3,6,1
120504,2,16,1
120505,2,21,15
120506,1,19,20
120507,2,4,5
120508,3,3,19
120509,3,7,19
120510,3,8,4
120511,3,7,6
120512,1,24,18
120513,2,7,2
120514,2,24,20
120515,3,2,13
120516,3,4,12
120517,2,28,21
120518,3,3,10
120519,1,18,6
120520,3,6,18
120521,3,8,18
120522,2,15,17
120523,3,5,0
120524,2,21,16
120525,2,17,7
120526,3,1,21
120527,3,7,22
120528,2,22,23
120529,2,20,21
120530,3,4,6
120531,3,4,16
120532,3,5,22
120533,2,25,19
120534,3,2,9
120535,3,5,23
120536,3,7,16
120537,3,10,18
120538,2,28,21
120539,3,6,18
120540,2,25,8
120541,3,13,7
120542,3,5,21
120543,2,23,19
120544,2,10,9
120545,3,4,3
120546,3,3,7
120547,2,20,15
120548,3,4,19
120549,3,4,17
120550,3,1,23
120551,3,5,1
120552,3,9,23
120553,3,10,20
120554,3,6,15
120555,3,2,10
120556,3,10,19
120557,3,1,19
120558,3,13,23
120559,3,2,19
120560,3,6,19
120561,3,4,19
120562,1,30,20
120563,2,13,1
120564,3,12,23
120565,2,24,8
120566,3,5,19
120567,3,14,2
120568,3,15,8
120569,3,9,0
120570,3,5,22
120571,3,7,17
120572,3,13,21
120573,3,9,0
120574,3,5,18
120575,3,2,20
120576,2,11,20
120577,2,27,16
120578,3,8,5
120579,3,9,19
120580,2,25,6
120581,3,11,4
120582,3,14,20
120584,2,14,1
120585,3,7,2
120586,3,16,1
120587,3,13,20
120588,3,12,18
120589,3,2,21
120590,2,12,19
120591,3,12,2
120592,2,19,9
120593,3,13,6
120594,3,12,22
120596,3,4,22
120597,3,8,10
120598,3,5,19
120599,3,12,23
120600,3,16,22
120601,3,6,21
120603,3,13,16
120604,3,16,22
120605,3,9,10
120606,3,17,18
120607,2,25,18
120608,3,9,20
120609,3,3,16
120610,3,5,19
120611,3,16,19
120612,2,21,19
120613,3,17,22
120614,3,19,10
120615,3,6,3
120616,3,20,0
120617,3,15,5
120618,3,9,7
120619,3,10,6
120620,3,12,7
120621,3,13,20
120622,3,8,13
120623,3,12,16
120624,3,15,15
120625,3,13,1
120626,3,14,14
120628,3,12,2
120629,2,21,20
120630,3,4,6
120631,3,4,23
120632,3,19,21
120633,3,13,4
120634,3,20,20
120635,3,16,22
120636,3,18,16
120637,3,17,1
120638,3,13,6
120639,3,21,20
120641,3,21,8
120642,3,12,12
120643,3,10,5
120644,3,15,6
120645,3,13,11
120647,3,10,19
120648,3,4,19
120649,3,14,19
120650,3,14,7
120651,3,19,19
120652,3,17,18
120653,3,4,6
120654,3,24,1
120655,2,25,19
120656,3,3,23
120657,3,11,17
120658,3,6,10
120659,3,5,7
120660,3,19,6
120661,3,9,4
120662,3,3,1
120663,3,9,22
120664,3,12,2
120665,3,15,20
120666,3,3,1
120667,2,20,20
120668,3,16,16
120669,3,17,21
120670,3,24,21
120671,3,3,20
120672,3,13,9
120674,2,24,15
120676,3,14,11
120677,3,8,14
120678,3,8,19
120679,3,15,8
120681,3,6,3
120682,3,18,20
120684,3,23,1
120685,3,17,20
120686,2,6,4
120687,3,26,17
120688,3,26,2
120689,3,27,1
120690,3,18,17
120691,3,12,0
120692,3,15,19
120693,3,14,17
120694,3,21,5
120695,2,12,5
120696,3,10,5
120697,2,5,14
120698,3,22,6
120700,3,25,6
120701,3,23,20
120702,3,26,11
120703,3,25,20
120704,3,23,18
120705,3,10,21
120706,2,25,21
120707,3,18,21
120708,3,13,1
120709,3,18,19
120710,3,16,15
120711,2,20,21
120712,3,19,0
120713,1,8,6
120714,3,7,7
120715,3,29,20
120716,2,27,19
120717,3,24,16
120718,3,26,17
120719,3,15,12
120720,3,18,23
120721,3,26,20
120722,3,19,23
120723,3,24,20
120724,3,27,0
120725,3,16,22
120726,3,16,11
120727,3,1,1
120728,3,22,14
120729,3,29,14
120730,3,23,23
120731,3,24,0
120732,3,22,18
120733,3,17,2
120734,3,22,12
120735,3,18,22
120736,3,18,22
120737,3,22,15
120738,3,6,10
120739,3,12,5
120740,3,16,18
120741,3,21,9
120742,3,25,4
120743,3,27,17
120744,3,19,20
120745,3,5,1
120746,3,31,23
120747,3,28,23
120748,3,28,15
120749,3,20,7
120750,3,26,18
120751,3,28,22
120752,3,30,23
120753,3,16,3
120754,3,10,23
120755,3,31,7
120756,3,29,6
120757,3,11,10
120758,3,26,22
120760,3,23,22
120761,4,2,6
120762,3,24,6
120763,3,25,19
120764,4,3,20
120765,3,24,12
120766,3,12,19
120767,3,23,18
120768,3,26,19
120769,3,18,20
120770,3,24,15
120771,3,12,22
120772,4,1,3
120773,3,23,2
120774,3,30,19
120775,3,13,21
120776,3,31,21
120777,3,30,9
120778,4,5,8
120779,4,1,21
120780,4,2,5
120781,3,31,18
120782,3,15,23
120783,3,17,20
120784,4,5,16
120785,4,4,2
120786,3,30,1
120787,3,2,19
120788,3,27,2
120790,3,22,10
120791,2,27,12
120792,3,23,12
120793,4,5,2
120794,3,26,14
120795,3,26,17
120796,3,10,16
120798,4,1,7
120799,4,6,18
120800,4,1,2
120801,3,30,20
120802,3,10,3
120803,4,3,0
120804,4,2,3
120805,4,1,20
120806,3,1,6
120807,4,2,23
120808,3,30,12
120809,4,5,12
120810,3,28,19
120811,4,6,23
120812,4,3,14
120813,3,12,0
120814,3,23,0
120815,4,1,19
120816,4,6,20
120817,4,3,22
120818,4,6,20
120819,4,1,11
120820,4,10,1
120821,4,3,17
120822,3,30,17
120823,4,10,7
120824,4,3,3
120825,4,4,18
120826,4,7,14
120827,3,28,15
120828,1,14,2
120829,2,22,14
120830,4,8,0
120831,4,7,6
120832,2,24,20
120833,2,16,4
120834,3,3,10
120835,3,27,11
120836,4,9,14
120837,4,6,6
120838,3,11,14
120839,4,7,11
120840,3,29,23
120841,3,29,21
120842,4,11,13
120843,4,9,4
120844,4,3,20
120845,4,11,15
120846,3,5,20
120847,4,4,6
120848,4,1,23
120850,3,28,13
120851,4,1,16
120852,4,9,3
120853,4,10,0
120855,3,31,19
120856,4,9,16
120858,3,28,17
120859,4,9,3
120860,3,28,23
120861,3,31,2
120862,4,4,20
120863,1,30,20
120864,3,6,15
120865,3,19,22
120866,3,20,20
120867,3,29,6
120868,4,6,17
120869,4,5,15
120870,4,10,15
120871,3,19,2
120872,4,10,13
120873,3,17,15
120874,3,28,14
120875,3,23,20
120876,3,15,20
120877,4,10,23
120878,3,13,0
120879,4,2,2
120880,1,1,14
120881,4,19,6
120882,4,11,12
120883,4,3,10
120884,4,6,22
120885,4,11,21
120886,4,12,8
120887,4,7,19
120888,4,17,21
120890,1,17,18
120891,2,4,19
120893,1,12,20
120894,2,6,3
120895,2,11,21
120896,1,21,9
120898,3,22,21
120899,3,19,0
120900,4,8,20
120901,4,14,21
120902,4,15,0
120903,3,21,3
120904,4,16,3
120905,4,16,3
120906,2,11,14
120907,2,11,17
120908,4,17,16
120909,4,14,5
120910,4,16,17
120911,4,8,11
120912,3,24,19
120913,4,15,16
120914,3,31,20
120915,2,17,19
120916,4,8,1
120917,4,8,15
120918,4,11,9
120919,4,7,0
120920,4,11,12
120921,4,9,6
120922,4,10,11
120923,4,13,23
120924,4,10,0
120925,4,19,0
120926,4,3,19
120927,4,11,6
120928,4,10,21
120929,4,17,0
120930,4,3,21
120931,4,12,7
120932,4,4,18
120933,4,12,16
120934,4,12,13
120935,4,14,10
120936,4,19,3
120937,4,8,12
120938,4,17,6
120939,4,19,0
120940,4,11,1
120941,4,14,10
120942,4,19,2
120943,4,3,1
120944,3,10,22
120945,3,26,9
120946,4,11,20
120947,4,14,12
120948,4,18,12
120950,2,18,17
120951,3,29,9
120952,3,31,20
120953,4,1,10
120954,4,8,1
120955,3,28,10
120956,3,12,23
120959,4,18,19
120960,4,12,13
120961,4,15,5
120962,4,10,7
120963,4,12,23
120964,4,19,22
120965,4,22,16
120966,4,15,11
120967,4,17,11
120968,4,15,22
120969,4,20,6
120970,4,12,10
120971,4,16,6
120972,4,12,8
120973,4,16,9
120974,4,25,19
120975,4,11,1
120976,2,22,0
120977,3,25,11
120979,3,26,0
120980,4,17,13
120981,4,19,22
120982,3,29,19
120983,4,16,1
120984,4,16,1
120985,4,12,14
120986,4,20,12
120987,4,10,12
120988,4,23,14
120989,4,7,5
120990,4,8,12
120991,1,1,18
120992,3,25,15
120993,4,16,3
120994,4,17,20
120995,4,16,2
120996,4,2,2
120997,4,20,7
120998,3,14,5
121000,4,23,2
121001,4,17,4
121002,4,9,2
121003,4,22,22
121004,4,21,0
121005,4,20,11
121006,4,23,21
121007,4,13,3
121008,4,23,0
121009,3,31,21
121010,4,3,20
121011,4,24,4
121012,4,24,20
121013,4,24,10
121014,4,7,21
121015,4,16,2
121016,4,26,4
121017,4,1,19
121018,4,26,14
121019,3,29,18
121020,3,23,23
121021,4,27,22
121022,4,22,22
121023,4,29,6
121024,4,20,0
121025,4,23,16
121026,4,26,20
121027,4,18,10
121028,5,1,1
121029,4,24,21
121030,5,2,7
121031,4,29,17
121032,4,21,8
121033,4,18,2
121034,4,26,16
121035,4,20,1
121036,4,25,21
121037,4,23,20
121038,4,26,3
121039,4,22,14
121040,4,29,5
121041,4,21,13
121042,4,24,3
121043,4,29,3
121044,3,29,19
121045,5,2,14
121046,4,10,11
121047,4,26,18
121048,4,25,19
121049,5,2,15
121050,4,24,11
121052,4,23,13
121053,4,22,19
121054,4,21,4
121055,4,26,0
121056,3,23,22
121057,4,12,16
121058,4,17,10
121059,3,9,20
121060,4,19,4
121061,4,26,17
121062,5,2,0
121064,4,22,1
121065,4,30,18
121066,4,14,17
121067,4,26,3
121068,4,18,17
121069,5,2,14
121070,3,18,6
121071,4,28,15
121072,3,6,21
121073,5,1,19
121074,4,29,15
121075,5,1,10
121076,4,30,10
121080,4,23,18
121081,4,17,1
121082,4,27,7
121083,2,4,15
121085,4,24,0
121086,4,24,16
121088,4,25,13
121090,5,1,7
121091,4,30,1
121092,5,1,15
121093,3,21,8
121094,4,29,1
121095,4,23,2
121096,4,28,7
121097,4,7,21
121099,4,23,5
121100,4,24,6
121101,4,30,12
121103,4,29,23
121104,4,30,16
121105,5,1,1
121106,4,22,10
121107,4,24,15
121108,4,26,18
121109,4,30,19
121110,4,25,20
121111,4,27,21
121112,5,6,4
121114,5,5,1
121115,5,10,11
121116,4,29,11
121117,4,27,8
121120,5,8,23
121121,5,8,3
121122,5,7,23
121123,4,14,18
121124,5,4,17
121125,4,16,17
121126,5,4,17
121127,5,7,6
121128,5,8,6
121129,5,7,22
121131,4,2,11
121132,4,26,22
121133,4,15,12
121134,5,8,17
121135,5,7,15
121136,4,23,0
121137,4,16,19
121138,5,6,4
121139,5,6,22
121140,5,7,10
121141,5,2,22
121142,4,16,17
121143,5,5,12
121144,5,4,4
121145,5,7,21
121146,5,8,0
121147,5,6,12
121148,4,22,16
121149,5,9,23
121150,5,4,16
121151,4,15,22
121152,5,8,20
121153,5,8,17
121154,5,8,10
121155,5,14,5
121156,4,22,9
121158,5,10,5
121159,5,13,6
121160,4,16,20
121161,5,3,9
121162,5,6,13
121163,5,11,12
121164,4,24,22
121165,5,8,13
121166,5,15,11
121168,4,17,2
121169,4,29,21
121170,4,9,19
121171,5,4,14
121172,5,9,14
121173,3,1,9
121174,4,11,22
121175,5,9,15
121176,5,12,18
121177,5,13,23
121178,5,15,2
121179,5,14,14
121180,4,30,21
121182,5,11,23
121183,5,12,8
121184,4,22,16
121185,4,22,21
121186,4,24,1
121187,4,17,18
121188,4,12,11
121189,3,11,18
121190,5,1,16
121191,5,15,9
121192,5,14,23
121193,5,15,16
121194,5,11,15
121195,4,5,18
121196,5,13,20
121197,5,1,21
121198,4,8,7
121199,5,10,20
121200,5,12,5
121201,5,16,14
121203,5,5,23
121204,5,5,19
121205,5,14,5
121206,5,18,10
121207,5,16,4
121208,5,9,22
121209,4,29,4
121210,5,8,0
121211,5,6,19
121213,4,20,23
121214,5,1,0
121215,4,13,12
121216,5,13,14
121217,5,10,6
121218,5,11,0
121219,4,19,9
121220,4,27,16
121221,5,13,20
121222,3,29,1
121223,4,29,8
121224,5,10,20
121225,5,14,19
121226,5,10,5
121227,5,20,2
121228,5,20,5
121229,5,22,0
121230,5,7,14
121231,5,17,14
121232,5,20,17
121233,5,16,1
121234,5,13,5
121235,5,6,10
121236,5,14,10
121237,5,17,14
121238,4,28,5
121239,4,20,0
121240,4,28,1
121241,4,26,23
121242,5,18,0
121243,5,8,6
121244,4,10,4
121245,3,21,11
121246,5,7,18
121247,3,27,11
121248,5,20,17
121249,5,14,18
121250,4,30,10
121251,5,18,6
121252,5,15,1
121253,5,22,22
121254,5,13,18
121255,5,19,17
121256,5,13,12
121257,5,10,16
121258,5,23,16
121259,5,22,18
121260,5,20,23
121261,5,13,15
121262,4,30,2
121263,5,13,8
121264,5,3,13
121265,5,19,19
121266,5,24,2
121267,3,16,22
121268,5,2,15
121269,5,18,23
121270,5,24,15
121271,5,18,19
121272,5,16,5
121273,5,14,5
121274,5,19,6
121275,5,20,22
121276,5,21,5
121277,5,22,22
121278,5,12,14
121279,5,22,3
121280,1,3,9
121281,1,4,18
121282,1,5,8
121283,1,11,16
121284,1,10,18
121285,1,14,20
121286,1,17,18
121287,1,18,15
121288,1,21,19
121289,1,15,22
121290,1,30,19
121291,1,29,12
121292,2,1,13
121293,2,3,12
121294,2,6,18
121295,1,30,15
121296,2,12,19
121297,2,18,19
121298,2,16,20
121299,2,22,14
121300,2,23,15
121301,2,19,11
121302,3,1,9
121303,3,2,7
121304,2,16,20
121305,3,6,17
121306,2,28,15
121307,3,8,17
121308,3,3,18
121309,3,10,18
121310,3,7,8
121311,3,11,12
121312,3,19,23
121313,3,15,22
121314,3,21,14
121315,3,17,22
121316,3,20,23
121317,3,28,20
121319,3,24,14
121320,3,28,7
121321,4,4,16
121322,4,6,4
121323,4,6,4
121324,4,14,17
121325,4,18,12
121326,4,21,16
121327,4,17,14
121328,4,7,22
121329,2,2,2
121330,5,22,2
121331,5,22,2
121332,5,26,5
121333,5,21,0
121334,5,5,15
121335,5,25,2
121336,5,25,15
