ST_CASE,MONTH,DAY,HOUR
10355,5,30,17
10356,5,31,18
10357,6,1,19
10358,6,2,3
10359,6,1,7
10360,6,3,21
10361,6,3,21
10362,6,4,14
10363,6,4,15
10364,6,4,14
10365,6,4,22
10366,6,5,4
10367,6,6,21
10368,6,6,15
10369,6,6,13
10370,6,6,10
10371,6,6,17
10372,6,7,20
10373,6,8,11
10374,6,8,16
10375,6,9,14
10376,6,9,21
10377,6,9,16
10378,6,10,0
10379,6,10,17
10380,6,10,21
10381,6,11,6
10382,6,11,3
10383,6,12,13
10384,6,12,20
10385,6,13,17
10386,6,14,15
10387,6,14,20
10388,6,15,6
10389,6,15,22
10390,6,15,3
10391,6,15,9
10392,6,16,6
10393,6,18,23
10394,6,18,1
10395,6,18,2
10396,6,18,16
10397,6,19,3
10398,6,19,1
10399,6,20,15
10400,6,20,4
10401,6,20,15
10402,6,22,16
10403,6,23,14
10404,6,23,16
10405,6,24,7
10406,6,24,8
10407,6,25,20
10408,6,25,15
10410,6,26,11
10412,6,25,22
10413,6,25,15
10414,6,25,19
10415,7,31,22
10416,8,16,12
10417,6,16,17
10418,6,22,3
10419,6,26,21
10420,6,24,10
10421,6,26,18
10422,6,27,4
10423,6,27,18
10424,6,28,13
10425,6,29,5
10426,6,29,9
10427,6,29,15
10428,6,30,6
10429,6,30,23
10430,7,1,14
10431,7,1,8
10432,7,2,22
10433,7,2,3
10434,7,2,2
10435,7,2,2
10436,7,2,6
10437,7,3,1
10438,7,3,3
10439,7,3,7
10440,7,3,16
10441,7,3,3
10442,7,3,20
10443,7,5,18
10444,7,4,22
10445,7,3,2
10446,7,7,4
10447,7,5,0
10448,7,7,16
10449,7,7,6
10450,7,7,5
10451,7,7,13
10452,7,7,19
10453,7,8,0
10454,7,8,21
10455,7,8,23
10456,7,8,14
10457,7,9,1
10458,7,9,14
10459,7,9,14
10460,7,9,20
10461,7,9,0
10462,7,10,18
10463,7,10,18
10464,7,11,1
10465,7,11,15
10466,7,11,1
10467,7,11,13
10468,7,12,8
10469,7,13,0
10470,7,13,17
10471,7,13,23
10472,7,14,19
10473,7,14,14
10474,7,14,14
10475,7,14,8
10476,7,16,21
10477,7,20,20
10478,7,20,7
10479,7,22,9
10480,7,22,16
10481,7,21,18
10482,7,20,12
10483,7,23,17
10484,7,24,22
10485,7,24,23
10486,7,24,14
10487,7,24,20
10488,7,24,2
10489,7,25,1
10490,7,25,10
10491,7,25,19
10492,7,26,20
10493,7,28,19
10494,7,28,18
10495,7,29,5
10496,7,29,22
10497,7,21,14
10498,7,29,8
10499,7,29,22
10500,7,30,13
10501,7,31,21
10502,7,31,10
10503,7,31,22
10504,7,31,1
10505,7,31,23
10506,8,1,13
10507,8,1,1
10508,8,1,18
10509,8,1,1
10510,8,2,4
10511,8,2,20
10512,8,3,13
10513,8,3,13
10514,8,4,21
10515,8,4,20
10516,8,4,15
10517,8,4,18
10518,8,5,19
10519,8,6,20
10521,8,6,3
10522,8,6,10
10523,8,6,15
10524,8,6,13
10525,8,6,5
10526,8,7,14
10527,8,7,18
10528,8,7,17
10529,8,8,0
10530,8,8,9
10531,8,9,8
10532,8,10,9
10533,8,11,10
10534,7,18,15
10535,8,11,21
10536,8,12,14
10537,8,12,20
10538,8,12,19
10539,8,13,16
10540,8,13,1
10541,8,13,19
10542,8,14,1
10543,8,13,2
10544,6,21,7
10545,6,25,18
10546,1,25,6
10547,2,3,9
10548,2,4,19
10549,2,2,5
10550,3,21,9
10551,5,8,1
10552,3,20,1
10553,2,6,8
10554,5,7,0
10555,6,18,2
10556,6,16,22
10557,7,24,0
10558,8,7,5
10559,8,12,20
10560,8,15,10
10561,8,15,7
10562,8,15,21
10563,8,16,14
10564,8,17,4
10565,8,19,5
10566,8,17,19
10567,8,19,9
10568,8,19,12
10569,8,19,0
10570,8,20,22
10571,8,22,19
10572,8,22,12
10573,8,22,15
10574,8,23,15
10575,8,24,7
10576,8,24,21
10577,8,25,20
10578,8,26,10
